MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround,start_lat,start_long,stop_lat,stop_long
1438,2699,India St,State St,Atlantic Ave,1F,00:01:00.0000000,07:00:00.0000000,,0.1867,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,42.35928,-71.05407,42.3579,-71.05131
1439,1355,Hillside St,Calumet St,Parker Hill Ave,10M,12:00:00.0000000,16:00:00.0000000,Even,0.3515,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,42.33051,-71.10304,42.33216,-71.10957
1440,233,Intervale St,Warren St,Blue Hill Ave,10R,08:00:00.0000000,12:00:00.0000000,Even,0.1220,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.31217,-71.08299,42.31187,-71.08074
1441,1769,Intervale St,Warren St,Blue Hill Ave,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.1220,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.31217,-71.08299,42.31187,-71.08074
1442,2226,Lauriat St,Woodrow Ave,Callender St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0655,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.28802,-71.08026,42.28889,-71.08065
1443,189,Intervale St,Blue Hill Ave,Columbia Rd,3,12:00:00.0000000,16:00:00.0000000,Odd,0.3939,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.31187,-71.08074,42.30915,-71.07396
1444,164,Inwood St,Olney St,Norton St,3,12:00:00.0000000,16:00:00.0000000,Even,0.0873,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.30538,-71.06917,42.30659,-71.06956
1445,1724,Inwood St,Olney St,Norton St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0873,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.30538,-71.06917,42.30659,-71.06956
1446,313,Lawn St,Estey St,Bucknam St,10M,12:00:00.0000000,16:00:00.0000000,Even,0.2824,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.32774,-71.10787,42.32678,-71.10416
1447,2813,Ipswich St,Boylston St,Boylston St,10F,00:01:00.0000000,07:00:00.0000000,,0.4642,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,42.3469,-71.08921,42.3469,-71.08921
1448,1205,Irma St,Callender St,Woodrow Ave,7,08:00:00.0000000,12:00:00.0000000,Even,0.1182,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.288,-71.08723,42.28633,-71.08777
1449,2229,Irma St,Callender St,Woodrow Ave,7,08:00:00.0000000,12:00:00.0000000,Odd,0.1182,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.288,-71.08723,42.28633,-71.08777
1450,1358,Iroquois St,Calumet St,Sachem St,10M,12:00:00.0000000,16:00:00.0000000,Even,0.2460,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,42.32975,-71.10273,42.33085,-71.10698
1451,1241,Iroquois St,Calumet St,Sachem St,10M,12:00:00.0000000,16:00:00.0000000,Odd,0.2460,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,42.32975,-71.10273,42.33085,-71.10698
1452,1905,Howe St,Hancock St,Howe Ter,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1256,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.31196,-71.06354,42.3107,-71.06531
1453,524,Howe Ter,Howe St,Dead End,3,08:00:00.0000000,12:00:00.0000000,Even,0.0367,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.3107,-71.06531,42.31051,-71.06501
1454,2291,London St,George R. Visconti Rd,Bennington St,9,08:00:00.0000000,12:00:00.0000000,Odd,0.1650,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,None,None,42.3761,-71.03584
1455,2120,Lawrence St,Union St,Austin St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0644,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.37413,-71.06489,42.37495,-71.06546
1456,404,Irving St,Cambridge St,Myrtle St,1H,08:00:00.0000000,12:00:00.0000000,Odd,0.1244,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,42.36115,-71.06636,42.35931,-71.06637
1457,1100,Livingstone St,Blue Hill Ave,Lucerne St,7,08:00:00.0000000,12:00:00.0000000,Even,0.0966,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.28533,-71.09099,42.28499,-71.08914
1458,762,Logan St,Lambert Ave,Thornton St,10R,08:00:00.0000000,12:00:00.0000000,Even,0.0919,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.32664,-71.09098,42.32574,-71.0897
1459,2707,Lomasney Way,Cotting St,Causeway St,1W,00:01:00.0000000,07:00:00.0000000,,0.0888,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,42.36487,-71.06396,42.3641,-71.06336
1460,774,Linwood Sq,Linwood St,Highland Ave,10R,08:00:00.0000000,12:00:00.0000000,Even,0.1098,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.32814,-71.09387,None,None
1461,1276,Linden St,Adams St,Juliette St,3,08:00:00.0000000,12:00:00.0000000,Even,0.0432,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.30536,-71.06147,42.30516,-71.0623
1462,696,Hinckley St,Pleasant St,Bakersfield St,3,12:00:00.0000000,16:00:00.0000000,Even,0.0826,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.31724,-71.05923,42.31753,-71.0608
1463,408,Irving St,Cambridge St,Myrtle St,1H,08:00:00.0000000,12:00:00.0000000,Even,0.1244,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,42.36115,-71.06636,42.35931,-71.06637
1464,586,Islington St,Brighton Av,Armington St,4,08:00:00.0000000,12:00:00.0000000,Even,0.0850,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.35355,-71.13683,42.35262,-71.1366
1465,1945,Islington St,Brighton Av,Armington St,4,08:00:00.0000000,12:00:00.0000000,Odd,0.0850,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.35355,-71.13683,42.35262,-71.1366
1466,1542,Itasca St,Mattapan St,Messinger St,7,08:00:00.0000000,12:00:00.0000000,Even,0.3741,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.27866,-71.09667,42.27452,-71.10141
1467,451,Lesher St,Washington St,South St,2,12:00:00.0000000,16:00:00.0000000,Even,0.0741,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.29227,-71.12192,42.29292,-71.12303
1468,1242,Itasca St,Mattapan St,Messinger St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.3741,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.27866,-71.09667,42.27452,-71.10141
1469,1094,Jacob St,Jones Ave,Ballou Ave,7,08:00:00.0000000,12:00:00.0000000,Even,0.1631,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.28642,-71.08294,42.28429,-71.08372
1470,1268,Linden St,Dorchester Ave,Adams St,3,08:00:00.0000000,12:00:00.0000000,Even,0.1466,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.30601,-71.05879,42.30536,-71.06147
1471,2174,Jacob St,Jones Ave,Ballou Ave,7,08:00:00.0000000,12:00:00.0000000,Odd,0.1631,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.28642,-71.08294,42.28429,-71.08372
1472,2944,Jamaicaway,Huntington Ave,Arborway,99,12:00:00.0000000,15:00:00.0000000,,1.5725,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,42.33187,-71.11297,42.31343,-71.12107
1473,1165,Jamestown Ter,Dania St,Dead End,7,12:00:00.0000000,16:00:00.0000000,Even,0.0275,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.27252,-71.08851,42.2724199,-71.08828
1474,2203,Jamestown Ter,Dania St,Dead End,7,12:00:00.0000000,16:00:00.0000000,Odd,0.0275,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.27252,-71.08851,42.2724199,-71.08828
1475,603,Jeffries St,Maverick St,Marginal St,9,08:00:00.0000000,12:00:00.0000000,Odd,0.1436,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.36576,-71.02887,42.36395,-71.03033
1476,1414,Jeffries St,Maverick St,Marginal St,9,08:00:00.0000000,12:00:00.0000000,Even,0.1436,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.36576,-71.02887,42.36395,-71.03033
1477,1123,Lincoln St,Dorchester Ave,Adams St,7,08:00:00.0000000,12:00:00.0000000,Even,0.0797,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.29978,-71.06031,42.29997,-71.05882
1478,1665,Jersey St,Boylston St,Park Dr,10F,12:00:00.0000000,16:00:00.0000000,Even,0.2000,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.34455,-71.09782,42.34185,-71.09647
1479,896,Jersey St,Boylston St,Park Dr,10F,12:00:00.0000000,16:00:00.0000000,Odd,0.2000,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.34455,-71.09782,42.34185,-71.09647
1480,2378,Jess St,Porter St,Dead End,2,08:00:00.0000000,12:00:00.0000000,Odd,0.0441,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,42.31555,-71.10327,42.31533,-71.10352
1481,1805,Lawn St,Estey St,Bucknam St,10M,12:00:00.0000000,16:00:00.0000000,Odd,0.2824,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.32774,-71.10787,42.32678,-71.10416
1482,2379,Jess St,Porter St,Dead End,2,08:00:00.0000000,12:00:00.0000000,Even,0.0441,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,42.31555,-71.10327,42.31533,-71.10352
1483,193,Joe L. Smith Way,Washington St,Geneva Ave,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1093,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.3061,-71.08136,42.3071,-71.07975
1484,1306,Joe L. Smith Way,Washington St,Geneva Ave,3,12:00:00.0000000,16:00:00.0000000,Even,0.1093,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.3061,-71.08136,42.3071,-71.07975
1485,1057,Johnston Rd,Blue Hill Ave,Harvard St,7,12:00:00.0000000,16:00:00.0000000,Even,0.1595,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.28721,-71.09056,42.28776,-71.09368
1486,1906,Howe Ter,Howe St,Dead End,3,08:00:00.0000000,12:00:00.0000000,Odd,0.0367,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.3107,-71.06531,42.31051,-71.06501
1487,2153,Johnston Rd,Blue Hill Ave,Harvard St,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1595,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.28721,-71.09056,42.28776,-71.09368
